Region,Year,label,poultry_density,max_temp_q1,max_temp_q2,max_temp_q3,max_temp_q4,min_temp_q1,min_temp_q2,min_temp_q3,min_temp_q4,mean_temp_q1,mean_temp_q2,mean_temp_q3,mean_temp_q4,total_rain_q1,total_rain_q2,total_rain_q3,total_rain_q4,Loading,Unloading,Pop_total,F_TOTAL,F_Y_15-64,F_Y_GE65,F_Y_LT15,GDP_Annual,M_TOTAL,M_Y_GE65,M_Y_LT15,M_Y15-64,ndvi_q1,ndvi_q2,ndvi_q3,ndvi_q4,ndwi_q1,ndwi_q2,ndwi_q3,ndwi_q4,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,lai_hv_q1,lai_hv_q2,lai_lv_q1,lai_lv_q2
BE327,2021,0,21010,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,11337,-999,72940,12111,-999,-999,0.443,0.672,0.715,0.61,0.098333333,0.1675,0.1675,0.110277778,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
BE32D,2021,0,21010,9.129999839,16.69870939,24.21333307,22.41066647,-0.234516129,-0.353999992,11.54499975,1.807999973,3.919231875,7.697584104,17.27615389,10.21948006,298.1000063,164.0000005,372.0000045,196.8000038,1158,821,92064,46765,28917,10586,7264,1688.59,45202,8160,7506,29500,-999,-999,-999,-999,-999,-999,-999,-999,12.6453062,5.734387434,26.83787162,499.8320717,23.59,2.223225779,21.36677422,17.65560384,9.283999427,19.18641011,7.530361972,1030.900015,166.8000023,35,50.58216368,374.7000037,150.7000023,372.0000045,280.7000056,1.867696133,1.9557088,1.9466248,2.9046326
BE334,2021,0,14643,8.917499871,16.69887065,24.53283293,21.64333293,0.633064508,0.210999987,12.2041933,2.184833319,4.239041729,7.965274033,17.52966453,10.60894428,186.650005,143.7500025,389.8500019,113.4500036,1943,2053,82393,42156,26715,8651,6865,1531.59,40066,6633,6946,26522,0.44,0.637,0.687,0.588,0.14,0.208333333,0.255,0.151666667,13.09474053,6.018018776,27.34320432,508.4546284,24.665,2.655806395,22.0091936,19.58399893,12.8136388,19.58399893,7.485304601,833.700013,164.8500011,21.25,62.21909272,389.8500019,113.4500036,389.8500019,174.800004,1.845957467,1.918039967,1.8575134,2.5148926
BE335,2021,0,14643,7.83999994,14.92564492,23.06349963,20.38883308,-0.846129001,-0.38949999,11.25338672,1.782333292,3.092488388,6.78853394,16.53047457,9.706170044,264.4500062,202.9000035,453.0000039,157.2500037,4187,4164,210672,106904,66703,22214,18298,5483.31,103891,17585,18668,67319,0.382,0.602,0.59,0.524,0.115833333,0.221666667,0.226666667,0.149444444,12.16012481,6.261416147,27.23214201,517.657067,24.16,1.167258022,22.99274198,18.69523712,11.82475136,18.69523712,6.392275712,1077.600017,216.8000003,29.0000004,56.91362871,453.0000039,157.2500037,453.0000039,277.5500067,2.294799833,2.3856506,2.100708,2.8970947
BE343,2021,0,13523,7.919404519,14.99247274,23.30799933,20.43922173,-1.313763419,-1.313333313,10.70935458,1.131333314,2.695793593,6.382821793,16.18057419,9.03488033,246.3000087,183.6666701,425.4000065,185.9666716,514,758,57971,28864,18409,6034,4467,1705.31,29039,4876,4879,19190,0.425,0.708,0.785,0.639,0.113333333,0.231111111,0.269166667,0.185,11.52731403,5.907593106,26.65402947,508.3062741,23.029999,0.866021461,22.16397754,18.1975091,8.480024062,18.1975091,6.06218533,1041.333357,197.2333388,39.96666832,52.93420846,425.4000065,150.6333385,425.4000065,255.4000081,2.266377767,2.3179728,1.9679565,3.0140686
BE353,2021,0,24383,9.022142634,16.5061289,24.2206664,22.0629997,-0.418709683,-0.622999982,11.42166644,1.69099998,3.721006074,7.521813468,17.1652865,10.05878482,277.7000029,163.5000014,375.600001,197.8000025,907,823,67404,33925,21294,7534,5198,1286.22,33557,5913,5431,22024,0.355,0.65,0.657,0.554,0.08,0.223333333,0.211666667,0.1125,12.46419461,5.694943783,26.4630967,502.0937761,23.5,1.979677387,21.52032261,17.51226693,9.177377404,19.06597659,7.264637797,1014.600008,177.7000004,32.8000001,52.17035097,381.6000012,141.8000022,375.600001,263.1000018,1.742991133,1.998972533,2.146759,3.1264954
BG321,2021,0,64543,8.670198289,22.09258003,31.25817097,24.46151803,-1.541433749,-0.493835072,14.26725885,3.97259249,2.854986682,9.975645371,22.67371911,12.38422316,176.3888954,206.4888911,145.4333371,125.8000011,3307,3232,229718,118915,71504,33048,14488,1338.26,112401,22598,14979,73358,0.432,0.715,0.703,0.617,0.1675,0.248333333,0.243333333,0.091111111,14.84273825,5.741189335,20.80773366,805.793462,29.58,1.988387052,27.59161295,6.356686777,24.51111838,25.39297039,5.834715341,654.1111247,112.9555597,4.0444446,65.26647944,214.6777834,58.8222243,145.4333371,176.3888954,1.532023133,2.131978333,2.193512,2.7612
BG322,2021,0,64543,7.610833264,20.17849419,29.56333248,22.73033283,-2.393870904,-1.640752699,13.04377772,3.461111024,1.780893477,8.426716651,21.21529958,11.19988038,202.7333379,212.100006,142.2333388,137.8000053,862,1089,105788,54914,30351,18580,6067,802.87,51298,12277,6306,32321,0.463,0.702,0.603,0.589,0.143333333,0.200833333,0.196666667,0.111388889,13.44382094,5.576246835,20.55632869,798.2234541,27.866667,0.739999982,27.12666702,5.043833644,23.12376114,23.87487213,4.570446572,694.866688,129.266669,10.1000008,64.32339027,239.3000066,61.80000305,142.2333388,202.7333379,1.506632467,2.332946733,1.8591919,2.2843933
BG324,2021,0,64543,8.373928299,22.63548353,30.78587061,24.370533,-1.214903202,-0.353548389,14.61886657,3.455399997,2.973632802,10.12720559,22.51351514,12.25522837,158.9000016,213.620004,196.5800005,120.4800017,1974,2488,109810,56343,34456,14639,7363,599.39,54012,9836,7658,35979,0.445,0.667,0.502,0.538,0.179166667,0.198055556,0.1475,0.155,14.91478088,5.894770814,21.79815791,779.8650711,29.392002,2.349483826,27.04251817,18.22142492,24.17481292,25.19575757,6.348816151,689.5800078,144.8600002,12.48000001,70.24994702,268.7200028,64.20000026,196.5800005,158.9000016,1.7274577,2.099487333,1.9130249,2.6848145
BG342,2021,0,30208,8.646071123,21.10795629,29.99865503,23.55533277,-0.96118279,-0.412741945,14.0052218,4.403166541,3.169343867,9.496433394,21.89429502,12.36562875,203.7166701,216.0166685,149.1333366,140.5666689,1172,1521,182551,93975,55070,22408,16607,786.37,89422,14767,17326,56580,0.502,0.718,0.608,0.609,0.16,0.258055556,0.153333333,0.107222222,14.58994848,5.717046433,21.49439485,767.6758694,29.011665,2.413817176,26.59784782,6.418802586,23.87278593,24.61186934,6.123838484,709.4333441,129.4500022,2.783333335,68.02286045,249.1000032,50.93333341,149.1333366,203.7166701,2.0252889,2.234161333,1.6009521,2.8920898
